"Target URL:","https://twitter.com/Catshealdeprsn","","","","","","","","","","",""
"Search Query:","from:Catshealdeprsn include:retweets include:nativeretweets","","","","","","","","","","",""
"Cats That Heal Your Depression","@Catshealdeprsn","","","","","","","","","","",""
"Tweet range:","<unspecified> (unknown) ~ <unspecified> (unknown)","","","","","","","","","","",""
"Image : on  /  GIF : off  /  Video : on  /  No media : off  /  include RTs : off","","","","","","","","","","","",""
"Tweet date","Action date","Display name","Username","Tweet URL","Media type","Media URL","Saved filename","Remarks","Tweet content","Replies","Retweets","Likes"
"2021/04/19 20:31:35","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384303699732795400","Video","https://video.twimg.com/ext_tw_video/1384303654060978179/pu/vid/576x1024/8J5-3RC5XHaexbL2.mp4?tag=12","Catshealdeprsn-1384303699732795400-20210419_203135-vid1.mp4","","https://t.co/alNFFXXb8L",20,1427,6809
"2021/04/19 14:41:17","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384215542551044103","Video","https://video.twimg.com/ext_tw_video/1384215493922344968/pu/vid/720x1280/1NIsOd--xlOLv-Bf.mp4?tag=12","Catshealdeprsn-1384215542551044103-20210419_144117-vid1.mp4","","https://t.co/Hc4NNNj0XG",40,1618,6339
"2021/04/19 13:25:47","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384196543511597056","Image","https://pbs.twimg.com/media/EzWnaI9UYAISPCT?format=jpg&name=orig","Catshealdeprsn-1384196543511597056-20210419_132547-img1.jpg","","Open for a surprise https://t.co/RFf7D3C1Ju",14,1162,6349
"2021/04/19 12:08:26","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384177077411139589","Video","https://video.twimg.com/ext_tw_video/1384177026723041294/pu/vid/480x480/xtdTb4zcfxcixPpL.mp4?tag=12","Catshealdeprsn-1384177077411139589-20210419_120826-vid1.mp4","","https://t.co/NjSJfNvhxY",35,2193,7061
"2021/04/19 10:20:42","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384149963832057863","Video","https://video.twimg.com/ext_tw_video/1384149809129410569/pu/vid/576x800/xPnGZQ9wZXlenfeQ.mp4?tag=12","Catshealdeprsn-1384149963832057863-20210419_102042-vid1.mp4","","https://t.co/tOKFELliji",11,621,2967
"2021/04/19 08:05:56","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384116051135188995","Image","https://pbs.twimg.com/media/EzVeM0hVoAM5R4s?format=jpg&name=orig","Catshealdeprsn-1384116051135188995-20210419_080556-img1.jpg","","https://t.co/zVb8YznnET",15,593,4510
"2021/04/19 04:07:28","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1384056037896978434","Video","https://video.twimg.com/ext_tw_video/1384055827774906370/pu/vid/576x912/lI8gaJpcX_QtT6I3.mp4?tag=12","Catshealdeprsn-1384056037896978434-20210419_040728-vid1.mp4","","https://t.co/IMUHrmZHQF",20,650,3145
"2021/04/19 00:00:54","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383993985874628613","Image","https://pbs.twimg.com/media/EzTvLw_VUAUgaPj?format=jpg&name=orig","Catshealdeprsn-1383993985874628613-20210419_000054-img1.jpg","","https://t.co/O43PRjtkWl",8,1044,5082
"2021/04/18 13:31:47","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383835664077058051","Video","https://video.twimg.com/ext_tw_video/1383835396941828104/pu/vid/384x480/iBDp7-7cK351IBpq.mp4?tag=12","Catshealdeprsn-1383835664077058051-20210418_133147-vid1.mp4","","https://t.co/DrQLAJGRe1",29,1615,5949
"2021/04/18 00:29:52","","Cats That Heal Your Depression","@Catshealdeprsn","https://twitter.com/Catshealdeprsn/status/1383638888812408834","Image","https://pbs.twimg.com/media/EzOsK31VUAsE47e?format=jpg&name=orig","Catshealdeprsn-1383638888812408834-20210418_002952-img1.jpg","","https://t.co/N9sjPidYez",17,785,4645
